"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"02/09/2022";"0500";"16,9";"17,0";"16,4";"90,0";"90,0";"90,0";"15,2";"15,3";"14,8";"1008,8";"1010,2";"1008,8";"2,3";"28,0";"4,3";"1,00";"2,8"
"02/09/2022";"0600";"17,1";"17,1";"16,8";"89,0";"90,0";"89,0";"15,3";"15,3";"15,2";"1007,2";"1008,7";"1003,9";"2,8";"339,0";"9,9";"0,30";"0,2"
"02/09/2022";"0700";"16,9";"17,3";"16,9";"89,0";"89,0";"89,0";"15,1";"15,4";"15,1";"1008,1";"1008,1";"1007,2";"2,6";"247,0";"7,9";"1,00";"0,0"
"02/09/2022";"0800";"14,4";"16,9";"14,4";"91,0";"91,0";"89,0";"12,9";"15,0";"12,9";"1009,0";"1009,0";"1008,0";"3,6";"207,0";"6,5";"4,00";"0,2"
"02/09/2022";"0900";"13,9";"14,4";"13,9";"91,0";"92,0";"91,0";"12,5";"12,8";"12,5";"1010,2";"1010,2";"1009,0";"4,4";"225,0";"8,5";"1,80";"0,6"
"02/09/2022";"1000";"13,6";"13,9";"13,6";"91,0";"91,0";"91,0";"12,2";"12,6";"12,2";"1011,5";"1011,5";"1010,3";"4,2";"223,0";"7,9";"2,90";"0,2"
"02/09/2022";"1100";"13,3";"13,6";"13,2";"91,0";"91,0";"91,0";"11,9";"12,2";"11,8";"1013,0";"1013,1";"1011,5";"5,2";"225,0";"9,5";"45,40";"0,2"
"02/09/2022";"1200";"13,8";"13,8";"13,3";"90,0";"91,0";"90,0";"12,2";"12,3";"11,9";"1013,0";"1013,4";"1013,0";"4,5";"219,0";"9,5";"358,90";"0,0"
"02/09/2022";"1300";"15,1";"15,2";"13,8";"83,0";"90,0";"83,0";"12,3";"12,8";"11,9";"1013,7";"1013,7";"1012,8";"3,8";"225,0";"9,2";"972,30";"0,0"
"02/09/2022";"1400";"15,6";"16,1";"15,0";"79,0";"83,0";"78,0";"12,1";"12,6";"11,9";"1014,5";"1014,6";"1013,7";"4,7";"232,0";"8,2";"1018,80";"0,0"
